Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,MID-SIZE,2.0,4,AS8,Z,10.6,7.8,9.3,30,220
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,301
PORSCHE,MACAN GTS,SUV - SMALL,3.0,6,A7,Z,13.8,10.3,12.3,23,287
GMC,Sierra 4WD AT4,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.3,11.8,13.7,21,320
PORSCHE,Panamera 4S ST,FULL-SIZE,2.9,6,AM8,Z,13.1,9.8,11.6,24,273
HONDA,Accord Sport/Touring,MID-SIZE,2.0,4,AS10,X,10.4,7.4,9.1,31,211
KIA,Niro,STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,114
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV,X,7.7,6.0,6.9,41,162
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Z,16.7,11.2,14.3,20,334
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
HONDA,Civic Sedan,MID-SIZE,2.0,4,AV7,X,8.2,6.5,7.4,38,172
RAM,1500 ECODIESEL HFE,PICKUP TRUCK - STANDARD,3.0,6,A8,D,11.3,8.0,9.8,29,264
MERCEDES-BENZ,AMG C 63 S COUPE,SUBCOMPACT,4.0,8,A7,Z,13.8,10.2,12.2,23,285
CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20,326
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,3.3,6,AS6,E,17.5,13.7,15.8,18,262
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,7.9,6.1,7.1,40,163
FORD,Mustang Bullitt,SUBCOMPACT,5.0,8,M6,X,16.1,9.9,13.3,21,311
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,19.7,13.8,17.0,17,283
DODGE,CHARGER SRT (MDS),FULL-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
JAGUAR,F-PACE 20d,SUV - SMALL,2.0,4,AS8,D,8.9,7.2,8.1,35,218
HYUNDAI,TUCSON AWD,SUV - SMALL,2.0,4,AS6,X,11.4,9.3,10.4,27,239
KIA,FORTE 5,FULL-SIZE,1.6,4,A6,X,11.1,8.0,9.7,29,223
VOLVO,S60 INSCRIPTION,COMPACT,2.0,4,AS8,X,9.6,6.7,8.3,34,193
AUDI,A3 TDI (modified),SUBCOMPACT,2.0,4,AM6,D,7.6,5.5,6.5,43,177
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.9,14.5,18.0,16,300
JAGUAR,F-TYPE Coupe R-Dynamic,TWO-SEATER,3.0,6,AS8,Z,12.4,8.8,10.8,26,253
PORSCHE,Cayenne,SUV - STANDARD,3.0,6,AS8,Z,12.5,10.3,11.5,25,269
JEEP,Cherokee 4X4 Active Drive Lock,SUV - SMALL,3.2,6,A9,X,12.9,9.9,11.6,24,269
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
CADILLAC,CTS,MID-SIZE,3.6,6,AS8,X,11.6,7.9,9.9,29,233
PORSCHE,MACAN S,SUV - SMALL,3.0,6,A7,Z,13.7,10.3,12.2,23,285
HONDA,Pilot,SUV - SMALL,3.5,6,A6,X,12.4,8.7,10.7,26,250
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
MASERATI,Levante GTS,SUV - STANDARD,3.8,8,AS8,Z,17.3,12.9,15.3,18,360
TOYOTA,Camry Hybrid XLE/SE,MID-SIZE,2.5,4,AV,X,5.3,5.0,5.1,55,121
BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
CADILLAC,XT4 AWD,SUV - SMALL,2.0,4,AS9,Z,10.9,8.2,9.7,29,227
HYUNDAI,SONATA HYBRID,MID-SIZE,2.4,4,AS6,X,6.6,5.9,6.3,45,145
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
GMC,YUKON XL 4WD,SUV - STANDARD,6.2,8,A10,Z,17.1,11.3,14.5,19,340
KIA,K900,FULL-SIZE,5.0,8,AS8,Z,15.6,10.6,13.3,21,317
FORD,ECOSPORT AWD,SUV - SMALL,2.0,4,AS6,X,10.2,8.0,9.3,30,217
CHEVROLET,Silverado LD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.6,10.9,13.5,21,317
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,X,12.5,8.3,10.6,27,249
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,X,15.2,10.8,13.2,21,310
LINCOLN,MKZ AWD,MID-SIZE,3.0,6,AS6,X,14.0,9.2,11.8,24,278
LEXUS,ES 300h,MID-SIZE,2.5,4,AS6,X,5.5,5.2,5.3,53,124
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8,A6,E,20.5,14.0,17.6,16,288
LEXUS,ES 300h,MID-SIZE,2.5,4,AV6,X,5.8,6.1,5.9,48,139
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,Z,17.2,12.5,15.1,19,347
MINI,COOPER COUPE,TWO-SEATER,1.6,4,A6,Z,8.5,6.6,7.6,37,175
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,AV,X,8.4,7.0,7.8,36,181
CHEVROLET,Traverse,SUV - STANDARD,3.6,6,A9,X,13.0,8.8,11.1,25,261
LEXUS,RX 350 AWD,SUV - SMALL,3.5,6,AS8,X,12.2,9.0,10.8,26,252
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,X,5.6,6.4,6.0,47,140
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,14.9,10.1,12.7,22,292
TOYOTA,YARIS (SIL),COMPACT,1.5,4,M6,X,7.8,6.0,6.8,42,164
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,9.7,11.5,25,269
KIA,NIRO TOURING,STATION WAGON - SMALL,1.6,4,AM6,X,5.1,5.8,5.4,52,129
FORD,Explorer AWD,SUV - STANDARD,2.3,4,AS6,X,13.1,9.2,11.4,25,267
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,M5,X,7.8,6.5,7.2,39,168
CADILLAC,XT5 AWD,SUV - SMALL,3.6,6,AS8,X,12.8,9.3,11.2,25,263
TOYOTA,Tacoma 4WD D-Cab Off-Road,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.7,12.9,22,300
MERCEDES-BENZ,E 400 4MATIC COUPE,SUBCOMPACT,3.0,6,AS7,Z,11.8,8.4,10.2,28,239
CHEVROLET,IMPALA FFV,FULL-SIZE,3.6,6,AS6,E,17.0,11.7,14.6,19,240
FORD,EXPLORER,SUV - STANDARD,2.3,4,AS6,X,12.6,8.5,10.8,26,253
CHEVROLET,Equinox AWD,SUV - SMALL,1.5,4,A6,X,9.3,7.8,8.6,33,207
CHEVROLET,CAMARO SS,SUBCOMPACT,6.2,8,M6,Z,14.3,9.4,12.1,23,284
JEEP,GRAND CHEROKEE 4X4,SUV - STANDARD,5.7,8,A8,X,16.6,10.7,14.0,20,328
PORSCHE,911 Carrera Cabriolet,MINICOMPACT,3.0,6,M7,Z,12.0,8.2,10.3,27,241
LEXUS,RC 350 AWD,SUBCOMPACT,3.5,6,AS6,Z,12.6,9.1,11.0,26,253
LEXUS,GS 350 AWD,MID-SIZE,3.5,6,AS6,Z,12.4,9.0,10.9,26,254
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,M6,Z,9.1,6.7,8.0,35,184
NISSAN,PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,AV,X,9.1,8.5,8.8,32,202
PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,267
LEXUS,GS 450h,MID-SIZE,3.5,6,AV8,Z,8.0,6.9,7.5,38,176
JAGUAR,F-TYPE Convertible,TWO-SEATER,3.0,6,AS8,Z,11.9,8.5,10.4,27,242
MITSUBISHI,ECLIPSE CROSS 4WD,SUV - SMALL,1.5,4,AV8,X,9.6,8.9,9.3,30,216
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.9,12.6,22,290
JEEP,COMPASS 4X4,SUV - SMALL,2.4,4,A6,X,11.4,8.7,10.2,28,235
FORD,FOCUS ST,MID-SIZE,2.0,4,M6,X,10.5,7.7,9.2,31,217
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.1,10.9,13.2,21,304
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209
HONDA,RIDGELINE AWD,PICKUP TRUCK - STANDARD,3.5,6,A6,X,12.8,9.5,11.3,25,264
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.3,9.1,10.9,26,254
MAZDA,CX-5 4WD (Cylinder Deactivation),SUV - SMALL,2.5,4,AS6,X,9.8,7.9,9.0,31,208
MINI,COOPER COUNTRYMAN,COMPACT,1.6,4,AS6,Z,9.4,7.9,8.7,32,200
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,324
VOLKSWAGEN,Beetle Dune,COMPACT,2.0,4,AS6,X,9.1,6.9,8.1,35,189
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV7,X,7.9,6.6,7.3,39,170
LINCOLN,MKZ AWD,MID-SIZE,3.0,6,AS6,X,14.0,9.2,11.8,24,278
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.7,6.7,8.3,34,191
MAZDA,MAZDA5,MINIVAN,2.5,4,M6,X,11.1,8.3,9.8,29,225
BUICK,LACROSSE FFV,MID-SIZE,3.6,6,AS6,E,18.7,12.4,15.8,18,260
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,2.3,4,AS6,X,11.6,7.9,9.9,29,228
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.5,9.1,11.0,26,253
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.6,12.8,22,301
BMW,430i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.7,7.3,9.1,31,214
HONDA,Fit,STATION WAGON - SMALL,1.5,4,M6,X,8.1,6.6,7.4,38,174
KIA,Sorento AWD,SUV - SMALL,2.4,4,AS6,X,11.2,9.0,10.2,28,242
PORSCHE,CAYENNE GTS,SUV - STANDARD,4.8,8,A8,Z,16.7,11.5,14.4,20,338
HYUNDAI,Sonata SE,FULL-SIZE,2.4,4,AS6,X,9.2,6.8,8.1,35,190
GMC,SIERRA,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.2,10.7,13.1,22,309
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.3,20.5,25.9,11,414
LAND ROVER,Range Rover Sport Supercharged,SUV - STANDARD,5.0,8,AS8,Z,14.1,10.7,12.6,22,294
PORSCHE,911 Carrera Cabriolet,MINICOMPACT,3.0,6,AM7,Z,10.8,8.3,9.7,29,227
JAGUAR,F-PACE S,SUV - SMALL,3.0,6,AS8,Z,13.3,10.0,11.8,24,277
VOLKSWAGEN,BEETLE DUNE,COMPACT,1.8,4,AS6,X,9.7,7.5,8.7,32,203
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,AM7,Z,12.2,8.7,10.6,27,250
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,16.0,12.9,14.6,19,341
LAND ROVER,RANGE ROVER EVOQUE,SUV - SMALL,2.0,4,AS9,Z,11.3,7.9,9.7,29,229
CHEVROLET,Corvette Z06,TWO-SEATER,6.2,8,AS8,Z,17.2,10.1,14.0,20,331
MERCEDES-BENZ,S 63 AMG COUPE,COMPACT,5.5,8,AS7,Z,15.7,10.1,13.2,21,304
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,193
LEXUS,IS 350 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.1,11.0,26,253
SUBARU,WRX AWD,COMPACT,2.0,4,AV8,Z,12.6,9.6,11.2,25,256
TOYOTA,Tacoma,PICKUP TRUCK - SMALL,2.7,4,AS6,X,12.1,10.1,11.2,25,263
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,AM7,Z,11.5,8.3,10.1,28,232
INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6,AS7,Z,13.6,9.3,11.7,24,269
MERCEDES-BENZ,S 560 4MATIC,FULL-SIZE,4.0,8,A9,Z,13.5,8.6,11.3,25,265
BMW,X4 xDrive30i,SUV - SMALL,2.0,4,AS8,Z,10.8,8.0,9.6,29,223
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,324
FORD,FLEX,SUV - STANDARD,3.5,6,AS6,X,14.7,10.2,12.7,22,298
AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,AM6,X,9.7,7.5,8.7,32,205
VOLKSWAGEN,JETTA,COMPACT,1.8,4,AS6,X,9.3,6.3,7.9,36,182
MERCEDES-BENZ,C 350 4MATIC,COMPACT,3.5,6,AS7,Z,11.9,8.6,10.4,27,239
BMW,X3 xDRIVE28d,SUV - SMALL,2.0,4,AS8,D,8.6,6.9,7.9,36,211
SUBARU,WRX STI AWD,COMPACT,2.5,4,M6,Z,14.1,10.5,12.5,23,291
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,10.8,7.3,9.2,31,211
HYUNDAI,Sonata Hybrid,FULL-SIZE,2.0,4,AM6,X,5.3,4.6,5.0,56,117
DODGE,DURANGO AWD,SUV - STANDARD,3.6,6,A8,X,12.7,9.6,11.3,25,265
RAM,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,D,12.3,8.8,10.8,26,289
BMW,M240i xDRIVE CABRIOLET,SUBCOMPACT,3.0,6,AS8,Z,11.4,7.8,9.8,29,228
FORD,F-150 FFV 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,20.0,15.6,18.0,16,300
CADILLAC,Escalade 4WD,SUV - STANDARD,6.2,8,A10,Z,16.6,10.9,14.0,20,328
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,8.2,6.2,7.3,39,168
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,AV,X,8.4,7.0,7.8,36,181
MITSUBISHI,MIRAGE,COMPACT,1.2,3,AV,X,6.4,5.5,6.0,47,141
PORSCHE,CAYENNE S,SUV - STANDARD,4.8,8,A8,Z,15.5,10.7,13.2,21,310
FORD,TRANSIT CONNECT,SPECIAL PURPOSE VEHICLE,1.6,4,AS6,X,10.8,8.0,9.5,30,218
MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.9,8.2,34,194
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,AM7,Z,11.9,8.7,10.5,27,245
BMW,430i xDrive Coupe,COMPACT,2.0,4,AS8,Z,10.9,7.5,9.4,30,219
CHEVROLET,Colorado,PICKUP TRUCK - SMALL,2.5,4,A6,X,12.1,9.2,10.8,26,252
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,14.1,9.7,12.1,23,278
JEEP,COMPASS,SUV - SMALL,2.4,4,M5,X,10.2,8.2,9.3,30,218
CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15.0,9.9,12.7,22,298
KIA,NIRO,STATION WAGON - SMALL,1.6,4,AM6,X,4.6,5.1,4.8,59,114
KIA,NIRO FE,STATION WAGON - SMALL,1.6,4,AM6,X,4.5,4.8,4.7,60,110
BMW,X6 xDrive50i,SUV - STANDARD,4.4,8,AS8,Z,14.3,10.6,12.6,22,294
INFINITI,Q50 AWD,MID-SIZE,3.7,6,AS7,Z,12.5,8.7,10.8,26,248
BMW,M4 Cabriolet,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22,299
ACURA,TLX,COMPACT,2.4,4,AM8,Z,10.0,7.1,8.7,32,205
FORD,FLEX AWD,SUV - STANDARD,3.5,6,AS6,X,14.7,10.7,12.9,22,303
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.6,8.9,32,205
SMART,FORTWO CABRIOLET,TWO-SEATER,1.0,3,AM5,Z,6.8,6.2,6.5,43,150
CADILLAC,XT6 AWD,SUV - SMALL,3.6,6,AS9,X,13.5,9.7,11.8,24,277
HONDA,Civic Hatchback,FULL-SIZE,1.5,4,AV,X,7.7,6.0,6.9,41,162
LINCOLN,MKZ Hybrid,MID-SIZE,2.0,4,AV,X,5.5,5.7,5.6,50,131
VOLKSWAGEN,Tiguan,SUV - SMALL,2.0,4,AS8,X,10.5,8.1,9.4,30,221
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,15.3,10.6,13.2,21,309
LINCOLN,MKS AWD,FULL-SIZE,3.7,6,AS6,X,13.1,9.0,11.2,25,258
PORSCHE,911 Carrera 4 GTS,MINICOMPACT,3.0,6,AM7,Z,11.8,9.2,10.6,27,248
LAND ROVER,Range Rover Evoque,SUV - SMALL,2.0,4,AS9,Z,10.9,8.0,9.6,29,225
INFINITI,Q50 HYBRID,COMPACT,3.5,6,AS7,Z,8.2,6.7,7.5,38,172
CADILLAC,ATS-V,COMPACT,3.6,6,AS8,Z,13.9,9.4,11.9,24,279
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292
LAMBORGHINI,AVENTADOR S ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.2,14.5,19.8,14,464
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377
GMC,Sierra FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.7,11.9,14.0,20,329
LINCOLN,Continental AWD,FULL-SIZE,3.0,6,AS6,X,14.5,9.8,12.3,23,289
MERCEDES-BENZ,AMG G 63,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,417
DODGE,CHARGER (MDS),FULL-SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
KIA,SOUL,STATION WAGON - SMALL,1.6,4,AM7,X,9.1,7.7,8.5,33,199
CHEVROLET,CAMARO,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS8,Z,18.8,11.5,15.5,18,356
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4,AS6,Z,9.4,7.5,8.5,33,199
PORSCHE,911 TURBO S,MINICOMPACT,3.8,6,AM7,Z,12.6,9.9,11.4,25,266
GMC,YUKON 4WD,SUV - STANDARD,6.2,8,A8,Z,15.9,11.1,13.8,20,323
TOYOTA,Corolla,COMPACT,1.8,4,M6,X,8.0,6.0,7.1,40,165
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,AV6,X,9.9,8.1,9.1,31,209
BMW,430i xDRIVE COUPE,COMPACT,2.0,4,AS8,Z,10.5,7.4,9.1,31,213
FORD,ESCAPE AWD,SUV - SMALL,2.0,4,AS6,X,11.4,8.4,10.1,28,232
GMC,YUKON XL FFV,SUV - STANDARD,5.3,8,A6,E,19.8,13.9,17.2,16,285
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,AS9,X,12.9,9.0,11.2,25,263
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
BMW,428i COUPE,COMPACT,2.0,4,M6,Z,10.4,6.7,8.7,32,200
CHEVROLET,Silverado 4WD Custom Trail Boss,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,16.8,13.3,15.2,19,357
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,9.0,10.6,27,249
PORSCHE,911 GT3 RS,TWO-SEATER,4.0,6,AM7,Z,16.1,12.2,14.4,20,335
MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.6,7.0,8.4,34,198
FORD,F-150 FFV 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,21.3,17.2,19.5,14,323
FORD,FOCUS (Start/Stop),COMPACT,1.0,3,M6,X,7.9,5.9,7.0,40,164
HYUNDAI,Venue,MID-SIZE,1.6,4,M6,X,8.6,6.8,7.8,36,184
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,A4,X,12.2,9.3,10.9,26,251
CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
LAND ROVER,Range Rover Sport SVR,SUV - STANDARD,5.0,8,AS8,Z,16.2,12.0,14.3,20,336
CADILLAC,ATS,COMPACT,2.5,4,AS8,X,10.6,7.3,9.1,31,214
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,4.3,6,A6,X,15.7,12.0,14.1,20,331
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A5,X,13.6,10.4,12.1,23,285
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,15.9,11.2,13.8,20,324
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437
CHEVROLET,COLORADO 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.0,8.2,10.3,27,277
SUBARU,WRX AWD,COMPACT,2.0,4,M6,Z,11.3,8.5,10.0,28,235
FORD,FUSION,MID-SIZE,2.0,4,AS6,X,10.5,7.1,9.0,31,207
LEXUS,UX 250h AWD,COMPACT,2.0,4,AV6,X,5.7,6.2,6.0,47,140
LAND ROVER,Range Rover Velar SVAutobiography Dynamic,SUV - SMALL,5.0,8,AS8,Z,15.2,11.5,13.5,21,318
FORD,Mustang (Performance Pkg),SUBCOMPACT,2.3,4,M6,X,11.8,8.7,10.4,27,244
VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4,M6,X,9.6,7.2,8.5,33,199
FORD,EDGE,SUV - SMALL,3.5,6,AS6,X,13.5,9.1,11.5,25,270
VOLKSWAGEN,GOLF ALLTRACK,STATION WAGON - SMALL,1.8,4,M6,X,11.1,7.8,9.6,29,225
MERCEDES-BENZ,B 250 4MATIC,MID-SIZE,2.0,4,AM7,Z,10.3,7.8,9.1,31,215
CHEVROLET,Tahoe 4WD FFV,SUV - STANDARD,5.3,8,A6,E,21.7,14.3,18.4,15,305
CHEVROLET,Colorado 4WD,PICKUP TRUCK - SMALL,3.6,6,A8,X,14.0,9.9,12.2,23,286
MASERATI,Levante,SUV - STANDARD,3.0,6,AS8,Z,15.9,11.1,13.7,21,324
KIA,SPORTAGE,SUV - SMALL,2.4,4,A6,X,11.4,8.3,10.0,28,230
HONDA,ODYSSEY,MINIVAN,3.5,6,A6,X,12.3,8.5,10.6,27,244
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,AS6,X,9.0,6.8,8.0,35,188
NISSAN,ALTIMA,MID-SIZE,2.5,4,AV,X,8.8,6.0,7.5,38,176
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,A7,Z,22.8,12.9,18.3,15,421
MAZDA,MAZDA6,MID-SIZE,2.5,4,M6,X,9.4,6.4,8.1,35,186
CHRYSLER,300 FFV,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.5,11.0,13.5,21,310
LINCOLN,MKT LIVERY AWD,SPECIAL PURPOSE VEHICLE,3.7,6,A6,X,14.7,10.2,12.7,22,298
PORSCHE,911 CARRERA 4,MINICOMPACT,3.0,6,AM7,Z,10.7,8.3,9.6,29,225
MERCEDES-BENZ,E 300 4MATIC,MID-SIZE,2.0,4,A9,Z,11.0,8.1,9.7,29,227
JEEP,Wrangler JL 4X4,SUV - SMALL,2.0,4,A8,X,10.5,9.4,10.0,28,233
VOLVO,S60 T5,COMPACT,2.0,4,AS8,Z,10.5,7.1,8.9,32,208
MERCEDES-BENZ,AMG GLA 45 4MATIC,SUV - SMALL,2.0,4,AS7,Z,11.3,8.5,10.0,28,233
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,M5,X,10.3,8.4,9.4,30,216
GMC,TERRAIN AWD,SUV - SMALL,3.6,6,A6,X,15.0,10.4,13.0,22,304
VOLVO,XC70 AWD,SUV - SMALL,3.0,6,AS6,X,13.4,9.8,11.8,24,271
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,AV6,X,10.4,8.5,9.6,29,221
JAGUAR,XF AWD,MID-SIZE,3.0,6,AS8,Z,13.9,8.8,11.6,24,267
NISSAN,Altima SR/Platinum,MID-SIZE,2.0,4,AV,X,9.1,6.9,8.1,35,190
HONDA,ACCORD,FULL-SIZE,1.5,4,M6,X,8.9,6.7,7.9,36,185
HONDA,ACCORD SEDAN,MID-SIZE,2.4,4,AV,X,8.6,6.4,7.6,37,177
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,M6,X,14.2,11.0,12.8,22,294
HYUNDAI,Accent,COMPACT,1.6,4,M6,X,8.2,6.3,7.3,39,173
ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,AV7,Z,9.0,7.8,8.4,34,199
CADILLAC,CTS,MID-SIZE,2.0,4,AS8,Z,11.0,7.8,9.5,30,224
TOYOTA,VENZA,SUV - SMALL,3.5,6,AS6,X,12.5,9.0,10.9,26,256
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,A4,X,12.2,9.9,11.2,25,258
FORD,GT,TWO-SEATER,3.5,6,AM7,Z,20.4,13.1,17.1,17,402
BMW,335i,COMPACT,3.0,6,A8,Z,11.4,7.3,9.6,29,221
BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,AS8,Z,11.9,8.1,10.2,28,238
GMC,TERRAIN,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,214
PORSCHE,911 Targa 4S,MINICOMPACT,3.0,6,M7,Z,12.2,8.5,10.5,27,246
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4,AS7,Z,10.1,7.8,9.0,31,212
FORD,F-150 4X4 (Payload Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS6,X,13.3,10.7,12.3,23,288
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8,A8,Z,16.9,11.2,14.3,20,336
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216
FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS6,X,12.2,9.3,10.9,26,256
NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,269
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,AM6,D,7.6,5.7,6.9,41,183
